Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.239,2.331767719273589,1.028304369264732,2.5745014959994212,133.6004491192224,58.917500413731275,147.50807007088343,-14.31,-60.892,12.2,-16.853,113.725,20.1
0.233,2.3318123771688635,1.029138289293336,2.574185620004279,133.60300782814355,58.96528051182171,147.48997170951228,-14.288,-60.848,12.2,-16.842,113.725,20.1
0.225,2.3324898140705406,1.0292977010517124,2.5746016008232067,133.64182210349608,58.97441413278143,147.51380565479525,-14.271,-60.848,12.2,-16.831,113.725,20.1
0.217,2.333397679014222,1.029503844014529,2.5751403154691537,133.6938389331369,58.98622525452715,147.54467173036988,-14.249,-60.848,12.2,-16.815,113.725,20.1
0.212,2.334047108526994,1.0296536565058103,2.5755323819072413,133.73104850330998,58.99480887799591,147.56713548256104,-14.233,-60.848,12.2,-16.804,113.725,20.1
0.21,2.3338624299449973,1.0304410394514605,2.575095573045235,133.7204671999951,59.039922597642246,147.54210817831415,-14.216,-60.804,12.2,-16.798,113.725,20.1
0.21,2.334283470960794,1.0306352267342738,2.5752655018039663,133.74459107320214,59.051048709382556,147.55184437900735,-14.205,-60.804,12.2,-16.787,113.719,20.1
0.211,2.334917302272415,1.0307135940190353,2.5757556636386507,133.78090693228128,59.05553882405129,147.57992858341316,-14.189,-60.809,12.2,-16.782,113.719,20.1
0.212,2.335422136822558,1.0307967176725903,2.5760290622014175,133.80983182135685,59.060301458577705,147.59559316718463,-14.178,-60.804,12.2,-16.771,113.725,20.1
0.213,2.3353258388793545,1.0315129057654873,2.5756899863727316,133.8043143556355,59.101336013638225,147.57616555326604,-14.161,-60.765,12.2,-16.765,113.725,20.1
0.214,2.335640396951212,1.0316872597618754,2.5758636888281154,133.8223372055647,59.1113257617725,147.5861179708506,-14.15,-60.76,12.2,-16.76,113.725,20.1
0.215,2.3362068270503134,1.0318566848209065,2.5762548637215854,133.8547912596324,59.12103310259874,147.6085306412979,-14.134,-60.765,12.2,-16.754,113.719,20.1
0.216,2.3368006412003646,1.0318682504442425,2.5766261018278986,133.88881430424547,59.12169576400333,147.62980101798408,-14.123,-60.765,12.2,-16.743,113.725,20.1
0.217,2.3366173622963653,1.0327473454970053,2.5760903245255684,133.87831319657255,59.17206420031747,147.59910323980165,-14.106,-60.721,12.2,-16.732,113.719,20.1
0.217,2.337125714962167,1.0328501973750406,2.576361999939679,133.9074396588272,59.17795717884388,147.61466909442765,-14.095,-60.721,12.2,-16.721,113.719,20.1
0.218,2.3377794692424105,1.0329139210006715,2.576873976138063,133.94489701992376,59.181608273647804,147.6440031698062,-14.079,-60.727,12.2,-16.716,113.719,20.1
