Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(rad),W_Debug_Pitch(rad),W_Debug_Yaw(rad),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(rad),H_Debug_Pitch(rad),H_Debug_Yaw(rad),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
0.225,0.2694384993916924,-0.335233121,1.9563781768729958,15.437688853482173,-19.20744296,112.09221266632113,-0.434,-13.975,-61.078,-3.131,-16.501,113.676,-0.159430556,-0.316948313,-1.975075203,-9.134698,-18.15980066,-113.1634734,0.034731501598936815,-0.066000742,0.003177953,1.989968458,-3.781563957,0.18208331381287643
0.224,0.26948017143135217,-0.335337119,1.9564947964166068,15.44007648547838,-19.21340164,112.09889447397879,-0.439,-13.975,-61.084,-3.126,-16.501,113.676,-0.159510163,-0.316963685,-1.97518092,-9.139259134,-18.16068141,-113.1695305,0.034818768061536526,-0.066000742,0.003177953,1.9949684577709497,-3.781563957,0.18208331381287446
0.222,0.269584891,-0.335337119,1.9564947964166068,15.44607648547839,-19.21340164,112.09889447397879,-0.439,-13.975,-61.084,-3.12,-16.501,113.676,-0.159510163,-0.316963685,-1.97518092,-9.139259134,-18.16068141,-113.1695305,0.034923488,-0.066000742,0.003177953,2.000968458,-3.781563957,0.18208331381288162
0.219,0.26973173346013546,-0.335209839,1.955916299781388,15.45448992801341,-19.20610903,112.06574905831823,-0.439,-13.975,-61.051,-3.115,-16.501,113.676,-0.15955227,-0.31687913,-1.974599486,-9.141671656,-18.15583674,-113.1362168,0.035010754,-0.066000742,0.003177953,2.005968457770948,-3.781563957,0.18208331381287007
0.216,0.2698209546891315,-0.335170498,1.9559493018427299,15.459601927877854,-19.20385498,112.06763993714836,-0.439,-13.969,-61.051,-3.104,-16.501,113.676,-0.159547075,-0.316775615,-1.974616161,-9.141374005,-18.14990581,-113.1371722,0.03520274,-0.066000742,0.003177953,2.0169684577709504,-3.781563957,0.18208331381288637
0.212,0.2699257137265141,-0.335371546,1.956079621541273,15.46560417858573,-19.21537413,112.0751067058623,-0.45,-13.969,-61.057,-3.093,-16.501,113.676,-0.159731409,-0.316790991,-1.974721874,-9.15193559,-18.15078676,-113.1432291,0.035394727,-0.066000742,0.003177953,2.0279684577709474,-3.781563957,0.18208331381287265
0.208,0.2700304334816337,-0.335371546,1.9560796215412732,15.471604178585727,-19.21537413,112.07510670586231,-0.45,-13.969,-61.057,-3.087,-16.501,113.676,-0.159731409,-0.316790991,-1.974721874,-9.15193559,-18.15078676,-113.1432291,0.035499446469814275,-0.066000742,0.003177953,2.033968457770947,-3.781563957,0.18208331381287446
0.205,0.2703927905890492,-0.335287136,1.9554469167916397,15.492365711517204,-19.21053779,112.03885539403042,-0.45,-13.975,-61.018,-3.076,-16.501,113.681,-0.159786309,-0.316794551,-1.974018072,-9.155081146,-18.15099073,-113.1029042,0.035710710458069395,-0.066008211,0.003261474,2.0460729926610672,-3.781991917,0.18686866799997173
0.202,0.270671224,-0.335442295,1.9554892742572818,15.50831877835887,-19.21942777,112.04128229804259,-0.45,-13.98,-61.024,-3.065,-16.507,113.681,-0.159782998,-0.316896192,-1.974109884,-9.15489141,-18.15681433,-113.1081646,0.035903315187558515,-0.066112513,0.003252104,2.0571084307750525,-3.787967957,0.18633182712993948
0.201,0.270901995,-0.335860826,1.955504267799041,15.521540951642294,-19.24340782,112.04214136470534,-0.461,-13.986,-61.029,-3.054,-16.518,113.681,-0.159973813,-0.317012521,-1.974181297,-9.165824305,-18.16347952,-113.1122563,0.036096438,-0.066303732,0.003234926,2.068173547034788,-3.79892403,0.18534759960237152
0.2,0.2713911039665382,-0.336114841,1.9553788658534603,15.549564854678774,-19.2579618,112.03495636248084,-0.461,-13.997,-61.029,-3.038,-16.529,113.681,-0.159983349,-0.317202296,-1.974150715,-9.166370675,-18.1743528,-113.1105041,0.03637683,-0.066494952,0.003217747,2.084238853,-3.809880102,0.18436334708067714
0.2,0.27194409284839327,-0.336286628,1.9546603781724752,15.581248783726728,-19.26780448,111.99379005072825,-0.461,-14.013,-60.991,-3.027,-16.54,113.687,-0.160045611,-0.317380913,-1.973436706,-9.169938028,-18.1845868,-113.0695944,0.036593094,-0.066695135,0.003300777,2.0966298342764347,-3.821349765,0.18912058406483656
0.201,0.27264010977965325,-0.33671439,1.954532122746619,15.621127616357573,-19.29231346,111.98644155612703,-0.461,-14.035,-60.996,-3.01,-16.556,113.687,-0.16005836,-0.317773278,-1.973463599,-9.170668526,-18.20706766,-113.0711352,0.036891469035115615,-0.066973272,0.003275782,2.113725475749688,-3.837285833,0.18768849231822926
0.205,0.2734054201114472,-0.337297266,1.954445578629786,15.664976668387123,-19.32570976,111.98148294349082,-0.461,-14.062,-61.007,-2.994,-16.578,113.687,-0.160067852,-0.318267286,-1.973582285,-9.171212352,-18.23537222,-113.0779355,0.037173028,-0.06735571,0.003241413,2.1298576375537124,-3.859197922,0.18571927887282447
0.212,0.2744303076118909,-0.337822387,1.9542049123503031,15.723698396638259,-19.35579703,111.96769378140533,-0.456,-14.095,-61.007,-2.972,-16.6,113.692,-0.160009352,-0.3188366,-1.973490435,-9.167860572,-18.26799156,-113.0726728,0.0375786,-0.067745618,0.003290528,2.1530952085603796,-3.881537999,0.18853339541399625
0.218,0.2754485451033961,-0.338123449,1.953239046079641,15.782039107443495,-19.37304656,111.91235372052235,-0.45,-14.123,-60.969,-2.95,-16.622,113.692,-0.159977426,-0.319222203,-1.972742883,-9.166031331,-18.29008497,-113.0298412,0.037964907,-0.068128055,0.003256148,2.1752289304571852,-3.903450041,0.18656355372299432
0.223,0.2763064188570564,-0.338891432,1.9530368396850908,15.831191652883277,-19.41704877,111.90076814752408,-0.456,-14.15,-60.969,-2.928,-16.65,113.698,-0.160105769,-0.319687999,-1.972667661,-9.173384844,-18.31677312,-113.0255314,0.038375006,-0.068623758,0.003312553,2.1987258726583594,-3.931851696,0.18979528631026418
0.226,0.2772858471234082,-0.339620361,1.9528190394172404,15.887308758881048,-19.45881334,111.88828911139943,-0.461,-14.178,-60.974,-2.9,-16.677,113.698,-0.16021122,-0.32018387,-1.972677737,-9.179426762,-18.34518443,-113.0261087,0.038866602,-0.069093111,0.003270343,2.2268922724955655,-3.958743679,0.18737682583674703
0.226,0.27818778384881615,-0.340253023,1.9526130075833579,15.938985926634773,-19.49506218,111.87648435687261,-0.461,-14.2,-60.974,-2.873,-16.705,113.703,-0.160230533,-0.320563405,-1.972616411,-9.180533309,-18.36693019,-113.022595,0.039360156,-0.069587319,0.003310017,2.2551708253802834,-3.987059667,0.18965001959678862
0.225,0.2791868846146687,-0.340818848,1.9517104726588954,15.996230183826412,-19.52748159,111.82477291483775,-0.461,-14.222,-60.936,-2.845,-16.738,113.708,-0.160298149,-0.32084545,-1.971885423,-9.184407398,-18.38309015,-112.9807124,0.039871734090094556,-0.070168443,0.003341849,2.2844820852303056,-4.020355618,0.19147382259341633
0.225,0.28009789126360607,-0.341416302,1.9514209562944584,16.04842701991888,-19.56171314,111.80818484905555,-0.461,-14.244,-60.93,-2.818,-16.765,113.714,-0.160325132,-0.321209584,-1.971718315,-9.185953389,-18.40395347,-112.9711378,0.040369084,-0.07064676,0.003399728,2.312978117056617,-4.047761208,0.19479007107476512
0.225,0.2810662804142625,-0.342224751,1.951218444505507,16.103911631177752,-19.60803387,111.79658177824699,-0.467,-14.266,-60.936,-2.785,-16.798,113.714,-0.160441629,-0.321604509,-1.971762659,-9.192628197,-18.42658103,-112.9736786,0.040948702,-0.071220411,0.003348088,2.346187818230607,-4.080628967,0.1918312875739832
0.225,0.28194616205068357,-0.34291403,1.9509166582181918,16.154325135415743,-19.64752664,111.7792906976689,-0.472,-14.288,-60.93,-2.758,-16.826,113.719,-0.160555932,-0.321968639,-1.971595514,-9.199177279,-18.44744417,-112.9641019,0.041442354,-0.071714616,0.003387678,2.3744720032056743,-4.108944852,0.1940996536988573
