No,Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
39,-0.194,-0.15180634039384722,0.09593347099039162,-0.08082486520041315,-8.697862607893793,5.496583001790158,-4.630923655697472,1.39,8.289,56.151,2.01,-3.68,110.621,17.61553218045874,0.7467625890018832,1.8258486437438606,8.944619782431168,7.385045243277624,-0.9258517659859459
40,-0.192,-0.15236623811029254,0.09480918371044122,-0.07998364263407372,-8.729942384005122,5.432166085688757,-4.582725153015058,1.379,8.19,56.14,1.923,-3.812,110.643,17.516634284555337,0.7376901599939286,1.8132134871225736,8.812179271282163,7.295343113071657,-0.9233907333922131
41,-0.19,-0.1528386894007578,0.09367180796058405,-0.07913692416374411,-8.75701184897429,5.366999255501414,-4.534211758229399,1.368,8.086,56.129,1.835,-3.944,110.665,17.412736277425207,0.7286177617249792,1.8005782899463456,8.67974085784878,7.20466492977471,-0.9211487069072104
42,-0.19,-0.15320207896253313,0.09241303048102334,-0.07838933171055261,-8.777832537183127,5.2948766185764695,-4.491377865865695,1.357,7.982,56.124,1.741,-4.07,110.687,17.308770354963936,0.7185732739566318,1.7938625380244624,8.553169277185155,7.108131557501789,-0.920226789425117
43,-0.188,-0.15357002284923177,0.0912717131705949,-0.07755008940703188,-8.798914168988597,5.229483953603697,-4.44329282388512,1.346,7.877,56.113,1.653,-4.197,110.709,17.203872339916245,0.7095009219677555,1.7812272734349817,8.425793786460229,7.017452935699083,-0.9179819780329107
44,-0.185,-0.15384739828405064,0.09012605641826288,-0.0768862280996932,-8.814806610744325,5.163842656924408,-4.405256372792576,1.34,7.773,56.107,1.571,-4.318,110.726,17.099927921193995,0.7045523792053635,1.7743352939308068,8.304152027635824,6.9337213118102525,-0.9193285119121488
45,-0.177,-0.15409784674158367,0.08914924924950673,-0.07627892355889107,-8.829156250346529,5.107875728756557,-4.370460385725483,1.329,7.668,56.102,1.494,-4.438,110.742,16.994962375804587,0.6945079232397897,1.7676194866619528,8.18357685603417,6.855087136977108,-0.9205553355255393
46,-0.169,-0.1542100499714538,0.08806482706156893,-0.07565561526475151,-8.835585021865823,5.045742914177379,-4.3347474511357875,1.324,7.57,56.091,1.417,-4.543,110.753,16.89707597616185,0.69135630944843,1.7559566233970527,8.077569032980817,6.77754498089564,-0.9266926428746506
47,-0.163,-0.1543732089470091,0.08707334594767224,-0.07503808234600046,-8.844933342554821,4.988935230884169,-4.2993654211809575,1.313,7.476,56.085,1.34,-4.647,110.77,16.803121762425953,0.6814739043777276,1.7482541871682042,7.973131796134691,6.698692108666663,-0.9269335588091684
48,-0.158,-0.15457123055275007,0.08596849182139099,-0.07455232648372856,-8.856279144816183,4.925631752470639,-4.271533660399039,1.307,7.394,56.08,1.263,-4.741,110.781,16.721166097354647,0.6763633749377079,1.7423487389500976,7.878170702363613,6.621149646002687,-0.9330662512668431
