Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg)
0.705,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.725,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.736,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.732,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.721,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.717,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.723,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.724,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.716,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.698,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.673,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.732,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.721,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.717,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.723,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.724,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.716,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.698,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
